SALCHA CHINOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1993,,1994,,1995,,1996,,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,,2022,,2023,,2024,
,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand
Date,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum
1-Aug,45,v,27,v,165,v,,,36,v,63,v,219,v,12,v,,,,,,,36,v,138,v,51,v,123,v,0,v,261,v,78,v,45,v,123,v,54,v,,,0,v,1,0,50,v,,,297,v,,,18,v,41,v,0,v,,
2-Aug,32,v,90,v,60,v,,,18,v,9,v,174,v,51,v,,,,,,,15,0,129,v,30,v,105,v,0,v,249,v,81,v,83,v,102,v,33,v,,,0,v,1,0,26,v,,,114,0,,,28,v,51,v,0,v,,
3-Aug,27,v,54,v,54,v,,,75,v,42,v,123,v,12,v,,,,,,,3,0,90,v,30,v,30,v,0,v,96,v,72,v,25,v,159,v,78,v,,,3,v,1,0,19,v,,,107,0,,,23,v,46,v,0,v,,
4-Aug,14,v,32,v,33,v,,,6,v,12,v,39,v,6,v,,,,,,,30,0,33,0,60,v,108,v,0,v,114,v,93,v,78,v,60,v,87,v,,,27,v,-1,0,27,v,,,103,0,,,24,v,57,v,0,v,,
5-Aug,14,v,9,v,46,v,,,38,v,18,v,72,v,0,v,,,,,,,12,v,18,v,6,v,120,v,0,v,60,v,66,v,90,v,45,v,21,v,,,60,v,2,0,,,,,97,0,,,9,v,21,v,,,,
6-Aug,9,v,21,v,33,0,,,38,v,6,v,0,v,0,v,,,,,,,9,v,51,v,6,v,63,v,0,v,33,v,24,v,54,v,42,v,6,v,,,45,v,,,,,,,95,0,,,0,v,19,v,,,,
7-Aug,9,v,32,v,20,0,,,20,v,6,v,33,v,0,v,,,,,,,6,v,24,v,12,v,,,0,v,18,v,18,v,48,v,60,v,3,v,,,0,v,,,,,,,86,0,,,6,v,57,v,,,,
8-Aug,,,14,v,21,0,,,,,12,v,30,v,0,v,,,,,,,3,v,15,v,0,v,,,0,v,111,v,72,v,22,v,42,v,12,v,,,0,v,,,,,,,87,0,,,0,v,26,v,,,,
9-Aug,,,18,v,0,v,,,,,0,v,45,0,0,v,,,,,,,0,v,6,v,3,v,,,0,v,30,v,117,v,27,v,12,v,6,v,,,0,v,,,,,,,80,0,,,0,v,49,v,,,,
10-Aug,,,3,v,0,v,,,,,,,28,0,0,v,,,,,,,9,v,27,v,0,v,,,0,v,21,v,81,v,27,v,9,v,6,v,,,,,,,,,,,80,0,,,9,v,27,v,,,,
11-Aug,,,5,v,10,v,,,,,,,20,0,0,v,,,,,,,3,v,3,v,0,v,,,0,v,,,75,v,14,v,-3,v,0,v,,,,,,,,,,,,,,,,,36,v,,,,
12-Aug,,,0,v,0,v,,,,,,,12,0,0,v,,,,,,,0,v,0,v,0,v,,,0,v,,,132,v,20,0,0,v,6,v,,,,,,,,,,,,,,,,,26,v,,,,
13-Aug,,,,,5,v,,,,,,,3,v,,,,,,,,,3,v,6,v,0,v,,,0,v,,,33,v,20,0,0,v,3,v,,,,,,,,,,,,,,,,,15,v,,,,
14-Aug,,,,,0,v,,,,,,,0,v,,,,,,,,,6,v,3,v,-3,v,,,0,v,,,45,v,12,0,0,v,0,v,,,,,,,,,,,,,,,,,21,v,,,,
15-Aug,,,,,,,,,,,,,0,v,,,,,,,,,0,v,6,v,0,v,,,0,v,,,63,v,,,0,v,,,,,,,,,,,,,,,,,,,18,v,,,,
16-Aug,,,,,,,,,,,,,0,v,,,,,,,,,3,v,0,v,0,v,,,0,v,,,,,,7200,0,v,,,,,,,,,,,,,,,,,,,0,v,,,,
17-Aug,,,,,,,,,,,,,0,v,,,,,,,,,3,v,3,v,0,v,,,0,v,,,,,,,0,v,,,,,,,,,,,,,,,,,,,6,v,,,,
18-Aug,,,,,,,,,,,,,0,v,,,,,,,,,0,v,0,v,0,v,,,0,v,,,,,,,0,v,,,,,,,,,,,,,,,,,,,0,v,,,,
19-Aug,,,,,,,,,,,,,0,v,,,,,,,,,0,v,0,v,,,,,0,v,,,,,,,0,v,,,,,,,,,,,,,,,,,,,,,,,,
20-Aug,,,,,,,,,,,,,0,v,,,,,,,,,0,v,0,v,,,,,0,v,,,,,,,0,v,,,,,,,,,,,,,,,,,,,,,,,,
21-Aug,,,,,,,,,,,,,0,v,,,,,,,,,3,v,0,v,,,,,0,v,,,,,,,0,v,,,,,,,,,,,,,,,,,,,,,,,,
22-Aug,,,,,,,,,,,,,0,v,,,,,,,,,0,v,0,v,,,,,0,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-Aug,,,,,,,,,,,,,0,v,,,,,,,,,0,v,0,v,,,,,0,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Aug,,,,,,,,,,,,,0,v,,,,,,,,,0,v,0,v,,,,,0,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Aug,,,,,,,,,,,,,0,v,,,,,,,,,0,v,0,v,,,,,0,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-Aug,,,,,,,,,,,,,0,v,,,,,,,,,0,v,,,,,,,0,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Aug,,,,,,,,,,,,,0,v,,,,,,,,,0,v,,,,,,,0,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Aug,,,,,,,,,,,,,0,v,,,,,,,,,0,v,,,,,,,0,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-Aug,,,,,,,,,,,,,0,v,,,,,,,,,0,v,,,,,,,0,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-Aug,,,,,,,,,,,,,0,v,,,,,,,,,0,v,,,,,,,0,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-Aug,,,,,,,,,,,,,,,,,,,,,,,0,v,,,,,,,0,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Sep,,,,,,,,,,,,,,,,,,,,,,,0,v,,,,,,,0,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Sep,,,,,,,,,,,,,,,,,,,,,,,0,v,,,,,,,0,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-Sep,,,,,,,,,,,,,,,,,,,,,,,0,v,,,,,,,0,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-Sep,,,,,,,,,,,,,,,,,,,,,,,0,v,,,,,,,0,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-Sep,,,,,,,,,,,,,,,,,,,,,,,0,v,,,,,,,0,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-Sep,,,,,,,,,,,,,,,,,,,,,,,0,v,,,,,,,0,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-Sep,,,,,,,,,,,,,,,,,,,,,,,0,v,,,,,,,0,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-Sep,,,,,,,,,,,,,,,,,,,,,,,0,v,,,,,,,0,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-Sep,,,,,,,,,,,,,,,,,,,,,,,0,v,,,,,,,0,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Sep,,,,,,,,,,,,,,,,,,,,,,,0,v,,,,,,,0,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Sep,,,,,,,,,,,,,,,,,,,,,,,0,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Sep,,,,,,,,,,,,,,,,,,,,,,,0,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-Sep,,,,,,,,,,,,,,,,,,,,,,,0,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Sep,,,,,,,,,,,,,,,,,,,,,,,0,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
