Day,Shift,Period 1,2,3,4,5,6,7,8
8-Aug,1,4,4,4,4,4,4,4,4
8-Aug,2,4,4,4,4,4,4,4,4
8-Aug,3,-1,-1,-1,-1,-1,-1,-1,-1
9-Aug,1,3,3,3,3,3,4,4,3
9-Aug,2,-1,-1,-1,-1,-1,-1,-1,-1
9-Aug,3,4,4,4,4,4,3,4,3
10-Aug,1,3,3,3,3,3,3,3,3
10-Aug,2,-1,-1,-1,-1,-1,-1,-1,-1
10-Aug,3,3,3,4,4,3,3,3,3
11-Aug,1,-1,-1,-1,-1,-1,-1,-1,-1
11-Aug,2,-1,-1,-1,-1,-1,-1,-1,-1
11-Aug,3,2,3,3,3,2,2,3,2
12-Aug,1,,,,,,,,
12-Aug,2,,,,,,,,
12-Aug,3,,,,,,,,
13-Aug,1,,,,,,,,
13-Aug,2,,,,,,,,
13-Aug,3,,,,,,,,
14-Aug,1,,,,,,,,
14-Aug,2,,,,,,,,
14-Aug,3,,,,,,,,
15-Aug,1,,,,,,,,
15-Aug,2,,,,,,,,
15-Aug,3,,,,,,,,
16-Aug,1,,,,,,,,
16-Aug,2,,,,,,,,
16-Aug,3,,,,,,,,
17-Aug,1,,,,,,,,
17-Aug,2,,,,,,,,
17-Aug,3,,,,,,,,
18-Aug,1,,,,,,,,
18-Aug,2,,,,,,,,
18-Aug,3,,,,,,,,
19-Aug,1,,,,,,,,
19-Aug,2,,,,,,,,
19-Aug,3,,,,,,,,
20-Aug,1,,,,,,,,
20-Aug,2,,,,,,,,
20-Aug,3,,,,,,,,
21-Aug,1,,,,,,,,
21-Aug,2,,,,,,,,
21-Aug,3,,,,,,,,
