,Date,Temp,StartTime,EndTime,Duration,FileName,File,Total,Frame#,Dir,R(m),Theta,Length,dR(cm),L/dR,Aspect,Time,Date,Pan,Tilt,Roll,Species,Motion,Motion2,Q,N
22,7/21/2025,14,14:00:00,2:19:59,-12,D:/Chena Towerside 2025/ARIS_2025_07_21/FCe_chena Tower side 2025_2025-07-21_140000_ID_.txt,1,1,169,Up,6.53,5.9,54.6,0,0,0,14:01:09,7/21/2025,88.17,-8.68,0,Unknown,Running,<-->,5,1
23,7/21/2025,14,15:00:00,3:19:59,-12,D:/Chena Towerside 2025/ARIS_2025_07_21/FCe_chena Tower side 2025_2025-07-21_150000_ID_.txt,1,1,1176,Up,6.78,-2.1,46.7,0,0,0,15:07:47,7/21/2025,88.17,-8.68,0,Unknown,Running,<-->,5,1
24,7/21/2025,14,16:00:00,4:19:59,-12,D:/Chena Towerside 2025/ARIS_2025_07_21/FCe_chena Tower side 2025_2025-07-21_160000_ID_.txt,1,1,2288,Up,6.84,4.5,69.7,0,0,0,16:15:39,7/21/2025,88.17,-8.68,0,Unknown,Running,<-->,5,1
25,7/21/2025,14,17:00:00,5:19:59,-12,D:/Chena Towerside 2025/ARIS_2025_07_21/FCe_chena Tower side 2025_2025-07-21_170000_ID_.txt,1,1,1695,Up,6.67,-0.5,48.5,0,0,0,17:11:39,7/21/2025,88.17,-8.68,0,Unknown,Running,<-->,5,1
26,7/21/2025,14,18:00:00,6:19:59,-12,D:/Chena Towerside 2025/ARIS_2025_07_21/FCe_chena Tower side 2025_2025-07-21_180000_ID_.txt,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,7/21/2025,14,19:00:00,7:19:59,-12,D:/Chena Towerside 2025/ARIS_2025_07_21/FCe_chena Tower side 2025_2025-07-21_190000_ID_.txt,1,1,516,Up,6.37,0.5,57.6,0,0,0,19:03:31,7/21/2025,88.17,-8.68,0,Unknown,Running,<-->,5,1
28,7/21/2025,14,19:00:00,7:19:59,-12,D:/Chena Towerside 2025/ARIS_2025_07_21/FCe_chena Tower side 2025_2025-07-21_190000_ID_.txt,1,2,1639,Up,6.45,-6,58.7,0,0,0,19:11:40,7/21/2025,88.17,-8.68,0,Unknown,Running,<-->,5,1
29,7/21/2025,14,20:00:00,8:19:59,-12,D:/Chena Towerside 2025/ARIS_2025_07_21/FCe_chena Tower side 2025_2025-07-21_200000_ID_.txt,1,1,2650,Up,7.3,-7.9,60.2,0,0,0,20:18:24,7/21/2025,88.17,-8.68,0,Unknown,Running,<-->,5,1
30,7/21/2025,14,21:00:00,9:19:59,-12,D:/Chena Towerside 2025/ARIS_2025_07_21/FCe_chena Tower side 2025_2025-07-21_210000_ID_.txt,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,7/21/2025,14,22:00:00,10:19:59,-12,D:/Chena Towerside 2025/ARIS_2025_07_21/FCe_chena Tower side 2025_2025-07-21_220000_ID_.txt,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,7/21/2025,14,23:00:00,11:19:59,-12,D:/Chena Towerside 2025/ARIS_2025_07_21/FCe_chena Tower side 2025_2025-07-21_230000_ID_.txt,1,1,1152,Up,6.3,-5.8,77.1,0,0,0,23:07:56,7/21/2025,88.17,-8.68,0,Unknown,Running,<-->,5,1
33,7/21/2025,14,23:00:00,11:19:59,-12,D:/Chena Towerside 2025/ARIS_2025_07_21/FCe_chena Tower side 2025_2025-07-21_230000_ID_.txt,1,2,2570,Up,6.37,-6.4,85,0,0,0,23:17:40,7/21/2025,88.17,-8.68,0,Unknown,Running,<-->,5,1
34,7/21/2025,14,23:00:00,11:19:59,-12,D:/Chena Towerside 2025/ARIS_2025_07_21/FCe_chena Tower side 2025_2025-07-21_230000_ID_.txt,1,3,2574,Up,6.48,-2.7,71.9,0,0,0,23:17:42,7/21/2025,88.17,-8.68,0,Unknown,Running,<-->,5,1
35,7/22/2025,14,0:00:00,12:19:59,12,D:/Chena Towerside 2025/ARIS_2025_07_22/FCe_chena Tower side 2025_2025-07-22_000000_ID_.txt,1,1,37,Up,6.59,0.1,46.6,0,0,0,0:00:16,7/22/2025,88.17,-8.68,0,Unknown,Running,<-->,5,1
36,7/22/2025,14,0:00:00,12:19:59,12,D:/Chena Towerside 2025/ARIS_2025_07_22/FCe_chena Tower side 2025_2025-07-22_000000_ID_.txt,1,2,2254,Up,6.4,5.2,48.7,0,0,0,0:15:35,7/22/2025,88.17,-8.68,0,Unknown,Running,<-->,5,1
37,7/22/2025,14,1:00:00,1:19:59,20,D:/Chena Towerside 2025/ARIS_2025_07_22/FCe_chena Tower side 2025_2025-07-22_010000_ID_.txt,1,1,1358,Up,6.25,1.1,56.7,0,0,0,1:09:35,7/22/2025,88.17,-8.68,0,Unknown,Running,<-->,5,1
