"","Date","Temp","StartTime","EndTime","Duration","FileName","File","Total","Frame#","Dir","R(m)","Theta","Length","dR(cm)","L/dR","Aspect","Time","Date","Pan","Tilt","Roll","Species","Motion","Motion2","Q","N"
"18","2025-07-15","12","18:00:00","06:19:59",-12,"S:/Pedersen/2025 Chena and Salcha Towers/Chena Towers ARIS/Old Files/Chena North 7.15.25/FCe_chena tower side 2025_2025-07-15_180000_ID_.txt","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2025-07-15","12","19:00:00","07:19:59",-12,"S:/Pedersen/2025 Chena and Salcha Towers/Chena Towers ARIS/Old Files/Chena North 7.15.25/FCe_chena tower side 2025_2025-07-15_190000_ID_.txt","1","1","2912","Up","6.95","-5.2","63.8","0.0","0.00","0.0","19:19:11","2025-07-15",74.95,-8.47,0,"Unknown","Running","<-->",5,1
"20","2025-07-15","12","20:00:00","08:19:59",-12,"S:/Pedersen/2025 Chena and Salcha Towers/Chena Towers ARIS/Old Files/Chena North 7.15.25/FCe_chena tower side 2025_2025-07-15_200000_ID_.txt","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2025-07-15","12","21:00:00","09:19:59",-12,"S:/Pedersen/2025 Chena and Salcha Towers/Chena Towers ARIS/Old Files/Chena North 7.15.25/FCe_chena tower side 2025_2025-07-15_210000_ID_.txt","1","1","1584","Up","8.14","-5.8","58.6","0.0","0.00","0.0","21:10:27","2025-07-15",74.95,-8.47,0,"Unknown","Running","<-->",5,1
"22","2025-07-15","12","22:00:00","10:19:59",-12,"S:/Pedersen/2025 Chena and Salcha Towers/Chena Towers ARIS/Old Files/Chena North 7.15.25/FCe_chena tower side 2025_2025-07-15_220000_ID_.txt","1","1","951","Up","6.48","-1.9","87.5","0.0","0.00","0.0","22:06:17","2025-07-15",74.95,-8.47,0,"Unknown","Running","<-->",5,1
"23","2025-07-15","12","22:00:00","10:19:59",-12,"S:/Pedersen/2025 Chena and Salcha Towers/Chena Towers ARIS/Old Files/Chena North 7.15.25/FCe_chena tower side 2025_2025-07-15_220000_ID_.txt","1","2","2231","Up","6.92","5.3","58.4","0.0","0.00","0.0","22:14:42","2025-07-15",74.95,-8.47,0,"Unknown","Running","<-->",5,1
"24","2025-07-15","12","23:00:00","11:19:59",-12,"S:/Pedersen/2025 Chena and Salcha Towers/Chena Towers ARIS/Old Files/Chena North 7.15.25/FCe_chena tower side 2025_2025-07-15_230000_ID_.txt","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2025-07-16","11","01:00:00","01:19:59",20,"S:/Pedersen/2025 Chena and Salcha Towers/Chena Towers ARIS/Old Files/Chena North 7.16.25/FCe_chena tower side 2025_2025-07-16_010000_ID_.txt","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2025-07-16","11","02:00:00","02:19:59",20,"S:/Pedersen/2025 Chena and Salcha Towers/Chena Towers ARIS/Old Files/Chena North 7.16.25/FCe_chena tower side 2025_2025-07-16_020000_ID_.txt","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2025-07-16","11","03:00:00","03:19:59",20,"S:/Pedersen/2025 Chena and Salcha Towers/Chena Towers ARIS/Old Files/Chena North 7.16.25/FCe_chena tower side 2025_2025-07-16_030000_ID_.txt","1","1","2733","Up","9.37","99.0","0.0","0.0","0.00","0.0","03:18:00","2025-07-16",74.97,-9.93,0,"Unknown","Running","<-->",5,1
