SALCHA CHUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1993,,1994,,1995,,1996,,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,,2022,,2023,,2024,
,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand
Date,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum
12-Jul,126,v,14,v,262,v,,0,45,v,18,v,0,v,0,0,0,v,,0,42,v,9,v,0,v,3,v,0,v,0,0,0,v,0,v,,,,,0,v,,,72,v,9,v,81,0,,,36,v,,,0,v,2,0,0,v,0,s
13-Jul,59,v,222,v,126,v,,0,106,v,36,v,0,v,0,0,0,v,0,0,123,v,69,v,0,v,0,0,0,v,0,0,0,v,0,v,,,,,0,v,,,33,v,69,v,68,0,,,57,v,,,3,v,2,0,12,v,,
14-Jul,126,v,366,v,198,v,,0,186,v,72,v,0,v,0,0,0,v,0,0,216,v,453,v,33,v,22,0,0,v,0,v,0,v,0,v,,,,,0,v,,,18,v,171,v,43,v,,,87,v,,,39,v,3,0,36,v,,
15-Jul,153,v,414,v,111,v,10494,v,360,v,9,v,0,v,0,0,15,v,5,v,389,v,639,v,99,v,25,0,0,v,0,v,117,v,0,v,0,0,,,15,v,,,24,v,171,v,85,v,,,141,v,,,49,v,3,0,30,v,5,s
16-Jul,158,v,302,v,159,v,4494,v,396,0,72,v,0,v,0,0,81,v,48,v,,0,354,v,315,v,63,0,0,v,21,v,231,v,0,v,0,0,,,60,v,0,0,21,v,117,v,72,v,,,114,v,,,21,v,4,0,9,v,5,s
17-Jul,41,v,124,v,166,v,4176,v,432,v,219,v,0,v,0,v,81,v,132,v,,0,327,v,150,v,12,v,0,v,18,v,330,v,0,v,0,0,101,v,126,v,0,0,186,v,130,v,183,v,,,69,v,,,24,v,5,0,0,v,0,v
18-Jul,87,v,531,v,180,v,5958,v,924,v,90,v,0,v,60,v,189,v,48,v,,0,1038,v,255,v,111,v,9,v,42,v,255,v,18,v,0,0,102,v,321,v,,,189,v,76,0,294,v,,,39,v,,,21,v,6,0,22,v,10,v
19-Jul,126,v,428,v,180,v,4470,v,918,v,117,0,0,v,18,v,303,v,36,v,,0,612,v,447,v,150,v,90,v,27,v,1188,v,30,v,100,v,165,v,693,v,,,264,v,153,0,108,0,,,54,v,,,12,v,6,0,45,v,9,v
20-Jul,257,v,690,v,163,v,3771,v,571,v,144,v,0,v,66,v,411,v,42,v,,0,708,v,66,v,537,v,66,v,0,0,1122,v,36,v,207,v,132,v,1155,v,,,0,0,154,0,735,v,,,24,v,,,57,v,8,0,27,v,64,v
21-Jul,411,v,1122,v,453,v,4296,v,1113,0,220,v,0,v,249,v,324,v,36,0,,,729,v,249,v,1572,v,72,v,0,0,309,v,78,v,300,0,45,v,972,v,,,173,0,154,0,1860,v,,,54,v,,,75,v,7,v,26,v,47,v
22-Jul,279,v,977,v,474,v,5604,v,967,0,528,v,0,v,279,v,147,v,,0,,,603,v,654,v,1944,v,75,v,0,0,240,v,246,v,500,0,95,v,889,v,,,160,0,149,0,1221,v,,,52,v,,,87,v,42,v,26,v,45,v
23-Jul,396,v,1877,v,534,v,3960,v,979,0,348,v,138,v,309,v,252,v,456,0,,,690,v,1380,v,2547,v,90,v,0,0,288,v,207,v,700,0,195,v,806,v,,,254,v,147,0,1121,v,,,54,v,,,111,v,27,v,0,v,105,v
24-Jul,453,v,2406,v,1004,v,,0,2038,v,328,0,318,v,297,v,,,720,0,,,609,0,2124,v,4653,v,104,0,0,0,777,v,150,v,900,0,297,v,1494,v,,,225,v,140,0,2058,v,,,99,v,,,117,v,12,v,32,v,102,v
25-Jul,378,v,3123,v,729,v,3576,v,1265,v,413,0,319,v,498,v,,,951,v,,,1038,0,2571,v,8121,v,236,0,0,0,654,v,231,v,1238,v,270,v,1749,v,,,909,v,132,0,1611,v,,,89,v,,,50,v,11,v,48,v,81,v
26-Jul,54,v,2696,v,858,v,3930,v,675,v,662,0,342,v,444,v,,,672,0,,,1614,v,3459,v,6471,v,147,v,0,0,1263,v,471,v,1440,v,294,v,2430,v,,,1755,v,125,0,2187,v,,,70,v,,,85,v,3,v,22,v,81,v
27-Jul,167,v,2808,v,1229,v,4776,v,732,v,216,v,403,0,864,v,,,,0,,,2073,v,3987,v,6210,v,471,v,0,0,1200,v,489,v,3427,v,540,v,2100,v,,,779,v,115,0,2620,v,,,19,v,,,93,v,21,v,36,v,51,v
28-Jul,216,v,2426,v,2148,v,4932,v,2142,v,564,v,702,0,966,v,,,657,0,,,2601,v,3573,v,6165,v,573,v,476,v,1641,v,786,v,3000,0,960,v,2526,v,,,986,0,116,0,2892,0,,,36,v,,,130,v,0,v,4,v,21,v
29-Jul,72,v,2115,v,1548,v,,,3534,v,1521,v,906,0,1656,v,,,1179,v,,,2241,v,3702,v,8004,v,588,v,0,0,1836,v,1209,v,3000,0,1143,v,2967,v,,,942,0,120,0,3356,0,,,81,v,,,108,v,33,v,69,v,,
30-Jul,68,v,2565,v,1317,v,,,3828,v,1084,0,1083,0,1842,v,,,869,v,,,2010,v,3861,v,8532,v,765,v,0,0,1671,v,1446,v,3000,0,1518,v,3300,v,,,587,0,151,0,2859,v,,,243,v,,,57,v,198,v,37,v,,
