"","2024-06-23","2024-06-24","2024-06-25","2024-06-26","2024-06-27","2024-06-28","2024-06-29","2024-06-30","2024-07-01","2024-07-02","2024-07-03","2024-07-04","2024-07-05","2024-07-06","2024-07-07","2024-07-08","2024-07-09","2024-07-10","2024-07-11","2024-07-12","2024-07-13","2024-07-14","2024-07-15","2024-07-16","2024-07-17","2024-07-18","2024-07-19","2024-07-20","2024-07-21","2024-07-22","2024-07-23","2024-07-24","2024-07-25","2024-07-26","2024-07-27","2024-07-28","2024-07-29","2024-07-30","2024-07-31","2024-08-01","2024-08-02","2024-08-03","2024-08-04","2024-08-05","2024-08-06","2024-08-07","2024-08-08","2024-08-09","2024-08-10","2024-08-11","2024-08-12","2024-08-13","2024-08-14","2024-08-15","2024-08-16","2024-08-17","2024-08-18","2024-08-19","2024-08-20","2024-08-21"
"2024-07-04",0,0,0,0,0,0,0,0,0,0,0,3.42857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-07-05",0,0,0,0,0,0,0,0,0,0,0,0,6.85714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-07-06",0,0,0,0,0,0,0,0,0,0,0,0,0,11.6977572457246,0.192611794342995,0.0707277369263007,0.147694787483394,-0.0769646953542734,0,0.216552179306095,0,0,-0.121923888273646,0.456700321634926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-07-07",0,0,0,0,0,0,0,0,0,0,0,0,0,0.192611794342995,4.73478253825383,0.0289952734363357,-0.0355770650996489,0.122931411981256,0,0.11490684456224,0,0,0.0338684577391729,-0.0392409848977256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-07-08",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0707277369263007,0.0289952734363357,3.72662864927518,0.0521424681676185,-0.00560360328933556,0,0.0504251428295175,0,0,0.364396291059713,-0.0117827144330207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-07-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0.147694787483394,-0.0355770650996489,0.0521424681676185,7.03579276437848,0.112841801946356,0,-0.0684119734202036,0,0,-0.287735906921344,0.0628771754490361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-07-10",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0769646953542734,0.122931411981256,-0.00560360328933556,0.112841801946356,6.59253447344734,0,-0.0557721192081681,0,0,0.158029972040145,0.0112541669530511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-07-11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.1469387755102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-07-12",0,0,0,0,0,0,0,0,0,0,0,0,0,0.216552179306095,0.11490684456224,0.0504251428295175,-0.0684119734202036,-0.0557721192081681,0,46.9561067731773,0,0,1.55927206540997,0.320846855337073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-07-13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.64285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-07-14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-07-15",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.121923888273646,0.0338684577391729,0.364396291059713,-0.287735906921344,0.158029972040145,0,1.55927206540997,0,0,89.5837163145172,1.17934052634826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-07-16",0,0,0,0,0,0,0,0,0,0,0,0,0,0.456700321634926,-0.0392409848977256,-0.0117827144330207,0.0628771754490361,0.0112541669530511,0,0.320846855337073,0,0,1.17934052634826,38.9182590555484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-07-17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-07-18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-07-19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.5714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-07-20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-07-21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380.057142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-07-22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.2857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
