"","DailyEst","DailyVar","DailyMethod","vis_count_raw","vis_count_expanded","vis_var_expansion","vis_nperiods1","vis_nperiods2","vis_nperiods3","sonar_count_raw","sonar_count_expanded","sonar_var_expansion","sonar_nperiods1","sonar_nperiods2","sonar_nperiods3","sonar_var_assign_raw","sonar_var_assign_expanded","sonar_var_total","650thresh_count_raw","650thresh_count_expanded","650thresh_var_expansion","interp_count","interp_var","hierinterp","hierinterp_var"
"2024-06-23",0.0142512968380972,6.07667610182818,"Hier Run-timing Mod",0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0.0142512968380972,6.07667610182818
"2024-06-24",-0.00914081134746991,6.90377376238595,"Hier Run-timing Mod",0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,-0.00914081134746991,6.90377376238595
"2024-06-25",-0.00383129197305021,6.33685503786098,"Hier Run-timing Mod",0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,-0.00383129197305021,6.33685503786098
"2024-06-26",-0.0260076748781203,5.2042393748359,"Hier Run-timing Mod",0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,-0.0260076748781203,5.2042393748359
"2024-06-27",-0.0354621069991949,6.54701169031695,"Hier Run-timing Mod",0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,-0.0354621069991949,6.54701169031695
"2024-06-28",0,0,"Visual",0,0,0,0,8,8,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA
"2024-06-29",0,0,"Visual",0,0,0,0,8,6,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA
"2024-06-30",0,0,"Visual",0,0,0,0,8,8,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA
"2024-07-01",0,0,"Visual",0,0,0,0,8,8,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA
"2024-07-02",9,30.8571428571429,"Visual",3,9,30.8571428571429,8,8,7,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA
