"","2025-06-23","2025-06-24","2025-06-25","2025-06-26","2025-06-27","2025-06-28","2025-06-29","2025-06-30","2025-07-01","2025-07-02","2025-07-03","2025-07-04","2025-07-05","2025-07-06","2025-07-07","2025-07-08","2025-07-09","2025-07-10","2025-07-11","2025-07-12","2025-07-13","2025-07-14","2025-07-15","2025-07-16","2025-07-17","2025-07-18","2025-07-19","2025-07-20","2025-07-21","2025-07-22","2025-07-23","2025-07-24","2025-07-25","2025-07-26","2025-07-27","2025-07-28","2025-07-29","2025-07-30","2025-07-31","2025-08-01","2025-08-02","2025-08-03","2025-08-04","2025-08-05","2025-08-06","2025-08-07","2025-08-08","2025-08-09","2025-08-10","2025-08-11","2025-08-12","2025-08-13","2025-08-14","2025-08-15","2025-08-16","2025-08-17","2025-08-18","2025-08-19","2025-08-20","2025-08-21"
"2025-06-23",1.30999121730187,0.0227208071907356,-0.000620576343574358,0.00595496226365039,0.04308406609511,0.0250073583846661,-0.0654029738647712,-0.00577758212157758,0.0216155378131218,-0.00933973430048582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957625830488119,0,3.62808922324565,-6.24508675279123,7.64385472421045,0,0,0,0,0,0,0,0,0,0,-1.30404221507721,-1.91280045905645,3.9244121317674,4.23961538128863,9.43664952398259,-2.448893219766
"2025-06-24",0.0227208071907356,1.2542799322968,0.014520874771561,-0.0112807043716935,-0.0474926846613234,-0.0338801487582906,-0.0337700359397664,0.00178720703275454,-0.000291923408984254,0.0345421555381605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.74350615952885,0,5.85546094222715,6.7063493806474,7.84024817719254,0,0,0,0,0,0,0,0,0,0,-0.0832651007848958,-3.69308664610949,-0.68925145186659,-0.79317410234683,2.09816237958908,-1.11742750774852
"2025-06-25",-0.000620576343574358,0.014520874771561,1.19587799217777,0.00283198440165667,0.000880192469603662,0.0402294396165477,0.0182533117659145,-0.00765832192741555,-0.0280934430700608,0.0522230849900608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.6234730386826,0,9.00571927205882,-1.02042050165245,-0.135579160593813,0,0,0,0,0,0,0,0,0,0,0.748763302426638,6.13555246410144,-0.23680690673401,0.367781496642898,-1.41647137892862,1.37416464765743
"2025-06-26",0.00595496226365039,-0.0112807043716935,0.00283198440165667,1.42594520177362,-0.0396736616071454,-0.0136439390925381,0.0519221427066796,0.00831824363942258,0.019198621810504,0.0221108556072215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0558733579312,0,-2.33643641390158,-7.53767338756628,5.40206411687909,0,0,0,0,0,0,0,0,0,0,17.3192885894287,6.47533959986658,2.69239675987143,10.2946537240227,6.42614634088634,1.81940988001089
"2025-06-27",0.04308406609511,-0.0474926846613234,0.000880192469603662,-0.0396736616071454,1.28842245940757,0.0204425571533212,-0.0309879937659488,0.0168385231104902,0.0276078502681571,-0.0446148798434222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.83573651682275,0,12.5228143655858,11.6926282535367,-0.554032506419555,0,0,0,0,0,0,0,0,0,0,-2.01885212583902,-1.95377675771811,-2.52018201889537,2.24754396535404,1.17437333507807,4.35606531489236
"2025-06-28",0.0250073583846661,-0.0338801487582906,0.0402294396165477,-0.0136439390925381,0.0204425571533212,1.17730843506199,-0.0219451231641202,0.0216023488473809,0.0237821260307383,-0.00618223207249056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.37119101167901,0,4.06138298206138,-0.603788776102754,1.8396916091206,0,0,0,0,0,0,0,0,0,0,-3.11861708813927,3.4124061318628,8.23801630676471,0.160562069912858,0.680509308271281,0.286141128297162
"2025-06-29",-0.0654029738647712,-0.0337700359397664,0.0182533117659145,0.0519221427066796,-0.0309879937659488,-0.0219451231641202,1.66615981611201,-0.00251799073879438,-0.0344392075446653,0.0988636912857758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74697874320327,0,11.5214010094792,1.78988743448766,-0.93883982639393,0,0,0,0,0,0,0,0,0,0,-11.5655032223848,1.34868810934506,12.8572122378093,-5.25922189164507,12.1641677382747,-0.86097572932296
"2025-06-30",-0.00577758212157758,0.00178720703275454,-0.00765832192741555,0.00831824363942258,0.0168385231104902,0.0216023488473809,-0.00251799073879438,1.7316790129631,0.0859286732709647,0.11299178462537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.74299707164292,0,-13.1544473836298,0.698188948948341,4.88712405737005,0,0,0,0,0,0,0,0,0,0,0.232758711820897,3.02699448270799,9.01545027779621,0.406166396749498,2.75545595732887,6.09756908342441
"2025-07-01",0.0216155378131218,-0.000291923408984254,-0.0280934430700608,0.019198621810504,0.0276078502681571,0.0237821260307383,-0.0344392075446653,0.0859286732709647,2.14857472074103,0.0308865084106076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.25358268426596,0,-5.1669659134626,-5.01191149092464,6.50131617329208,0,0,0,0,0,0,0,0,0,0,8.30249895358311,1.03901730690715,-0.339412390818577,5.89896791250855,4.01947248600955,-0.638455562480439
"2025-07-02",-0.00933973430048582,0.0345421555381605,0.0522230849900608,0.0221108556072215,-0.0446148798434222,-0.00618223207249056,0.0988636912857758,0.11299178462537,0.0308865084106076,2.74931674571585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.10600352177464,0,-2.64554012522124,-8.75682517349118,-15.1130283312051,0,0,0,0,0,0,0,0,0,0,10.693294451989,0.226001378430052,4.24836281925531,3.54104993908193,5.2182845472088,-0.50647478419507
