"","2025-06-23","2025-06-24","2025-06-25","2025-06-26","2025-06-27","2025-06-28","2025-06-29","2025-06-30","2025-07-01","2025-07-02","2025-07-03","2025-07-04","2025-07-05","2025-07-06","2025-07-07","2025-07-08","2025-07-09","2025-07-10","2025-07-11","2025-07-12","2025-07-13","2025-07-14","2025-07-15","2025-07-16","2025-07-17","2025-07-18","2025-07-19","2025-07-20","2025-07-21","2025-07-22","2025-07-23","2025-07-24","2025-07-25","2025-07-26","2025-07-27","2025-07-28","2025-07-29","2025-07-30","2025-07-31","2025-08-01","2025-08-02","2025-08-03","2025-08-04","2025-08-05","2025-08-06","2025-08-07","2025-08-08","2025-08-09","2025-08-10","2025-08-11","2025-08-12","2025-08-13","2025-08-14","2025-08-15"
"2025-06-23",1.85836417015356,0.0254691515461977,-0.0408898928720046,0.0514830415424741,-0.0233625452446705,0.0801782097732275,-0.0154639401825255,0,0,0,0,0,0,0,0,0,0,0,1.18621470160453,-0.165974474323021,2.32182527626978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.673195443799818,-0.418257008740533,-0.058252967241055,0.788567300106058,1.60481555728268,1.3446470794243,0.4166814178339,-0.129989635296343,0.00990908843288806,0.0389255013954559,0.0567737764286282,0,-0.231577368074525,0.0919828862818062,0.597924725254107,0.0399609112091912,0.0698317232146659
"2025-06-24",0.0254691515461977,1.62485141911029,0.0172755346846845,0.0273381571718271,-0.00705677214608649,-0.00471817814112024,-0.0198149603681687,0,0,0,0,0,0,0,0,0,0,0,1.66428223523072,-0.55510064749669,1.69078683317748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.444574498852521,-1.10215030497211,0.0987774467465078,-0.16227606208799,-0.366497072967483,-0.514349975268605,-0.472279651151553,0.419551833922083,0.220883203568288,-0.179562143893044,-0.423486475225598,0,0.194320302944589,0.135089192063926,0.208949555335313,-0.271793729168989,-0.0381936041042965
"2025-06-25",-0.0408898928720046,0.0172755346846845,1.78091233007274,0.0565690563172636,0.0342872962888199,0.049458296448103,0.0348512385419379,0,0,0,0,0,0,0,0,0,0,0,3.7871734443078,0.745953357644572,-0.364417043883001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.770085703285003,-0.270598585424724,0.276502420681851,0.728960594663798,-0.0566470602799871,1.01792095492844,-0.0370804379405914,-0.414223295008404,-0.190530547328194,0.332873578190019,0.589494078382058,0,0.194436725840254,0.333442111610122,0.239326432430854,0.169697093892371,-0.052538574411297
"2025-06-26",0.0514830415424741,0.0273381571718271,0.0565690563172636,1.71731432009566,0.215167492813122,0.137409657532651,0.112593293224096,0,0,0,0,0,0,0,0,0,0,0,0.195373662637212,0.832747330454601,2.81264090337057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19457428451891,1.91389948750114,0.612573143407347,0.937877440440814,1.99146372947119,0.233427913930049,0.645007841234378,0.288658472849824,0.984723589405828,1.20470625679794,0.349707607588891,0,0.17124491120022,0.784424858185725,1.24633062726837,0.361538561966682,0.21922802708165
"2025-06-27",-0.0233625452446705,-0.00705677214608649,0.0342872962888199,0.215167492813122,2.5779538369096,0.318928838588881,0.083452358030878,0,0,0,0,0,0,0,0,0,0,0,0.667070303832726,1.76739776462092,1.09477521289859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.21395280815803,1.68077239010809,1.85070495980758,2.15351081127084,2.76355602146021,0.226729965322274,2.06636616304292,0.174671547021831,0.842313617091444,2.25693922023138,0.455676329626755,0,1.25943316964158,0.573840022722225,1.15380802883985,0.643831763082189,0.390571132453857
"2025-06-28",0.0801782097732275,-0.00471817814112024,0.049458296448103,0.137409657532651,0.318928838588881,3.33873217158598,0.287336383131226,0,0,0,0,0,0,0,0,0,0,0,-1.52613202787633,-0.307516457714627,3.24476821721361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.432527688567878,1.8309436391939,1.19804276631751,2.02555206632753,2.3833119440515,0.851639219935156,0.9455987949987,1.10981705953614,0.847850288918076,1.13845254296479,0.941975309698974,0,0.49870223704209,1.30199893222036,0.810381817119146,0.709362902469111,0.739186471672742
"2025-06-29",-0.0154639401825255,-0.0198149603681687,0.0348512385419379,0.112593293224096,0.083452358030878,0.287336383131226,5.42759804148397,0,0,0,0,0,0,0,0,0,0,0,0.782586525780751,-1.34864043236653,-1.41149596221801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.74124180923724,0.512453716741819,1.78310085878762,3.44687761455738,1.01441619807189,0.0199575954515037,1.80330115679276,2.58623894146492,2.97566801449562,1.38578547575325,1.00667465083949,0,1.35328625632777,1.76242205508904,2.364841562646,1.96310240473447,0.935950594001115
"2025-06-30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-07-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-07-02",0,0,0,0,0,0,0,0,0,13.7142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
